competitor,date,source,title,content,category,source_url,collected_at,item_id
Tencent News,2026-07-31,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,295 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-31,appstore:399363156:rating:1187c4bf610e0a0b
Toutiao,2026-07-31,Apple App Store,App Store rating snapshot · v17.8.0,"Version 17.8.0 has an App Store rating of 4.76/5 from 2,805,396 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-31,appstore:529092160:rating:21ad02fe2c1658ea
NetEase News,2026-07-29,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 784,919 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-29,appstore:425349261:rating:356dd90b26daac8b
Sohu News,2026-07-29,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,041 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-29,appstore:436957087:rating:ed03475b3fd95806
Tencent News,2026-07-29,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,225 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-29,appstore:399363156:rating:43e4c1bcf3db71a3
Toutiao,2026-07-29,Apple App Store,Version 17.8.0 release notes,修复了已知问题，提升了app的稳定性,Product Feature,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-31,appstore:529092160:release:17.8.0
Toutiao,2026-07-29,Apple App Store,App Store rating snapshot · v17.7.0,"Version 17.7.0 has an App Store rating of 4.76/5 from 2,805,137 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-29,appstore:529092160:rating:34772589b02edb88
NetEase News,2026-07-28,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 784,903 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-28,appstore:425349261:rating:f3ef90b9f4407076
Sohu News,2026-07-28,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,036 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-28,appstore:436957087:rating:98f44ea934846778
Tencent News,2026-07-28,Apple App Store,App Store rating snapshot · v7.9.93,"Version 7.9.93 has an App Store rating of 4.02/5 from 353,173 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-07-28,appstore:399363156:rating:74c767c998694845
Toutiao,2026-07-28,Apple App Store,App Store rating snapshot · v17.7.0,"Version 17.7.0 has an App Store rating of 4.76/5 from 2,804,977 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-07-28,appstore:529092160:rating:8c73be2a75e8b63e
NetEase News,2026-07-27,Apple App Store,Version 118.0 release notes,优化了部分功能，提升了用户体验,Product Feature,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-28,appstore:425349261:release:118.0
